name,latitude,longitude
Marx Dormoy,48.891213,2.359909
Notre-Dame-de-Lorette,48.87604,2.337341
Notre-Dame-des-Champs,48.844568,2.328788
Porte de la Chapelle,48.897274,2.359191
Porte de Versailles,48.832328,2.287841
Rennes,48.848193,2.327763
Rue du Bac,48.85569,2.325607
Saint-Georges,48.878449,2.337382
Solférino,48.858249,2.323225
Trinité-d'Estienne d'Orves,48.876302,2.333197
Vaugirard,48.839649,2.301491
Volontaires,48.841343,2.307504
Basilique de Saint-Denis,48.93806,2.36083
Brochant,48.890833,2.319722
Carrefour Pleyel,48.92,2.34389
Châtillon-Montrouge,48.810539,2.301826
Gabriel Péri,48.916667,2.294444
Gaîté,48.838654,2.322637
Garibaldi,48.90639,2.33194
Guy Môquet,48.892222,2.327222
La Fourche,48.886944,2.325833
Les Agnettes,48.923056,2.285833
Les Courtilles,48.930556,2.283889
Liège,48.879722,2.326944
Mairie de Clichy,48.903056,2.306111
Mairie de Saint-Ouen,48.91167,2.33389
Malakoff-Plateau de Vanves,48.82284,2.29834
Malakoff-Rue Étienne Dolet,48.8147,2.2973
Pernety,48.83421,2.31851
Plaisance,48.831553,2.313741
Porte de Clichy,48.893889,2.314444
Porte de Saint-Ouen,48.896667,2.328611
Porte de Vanves,48.82794,2.30588
Saint-Denis-Porte de Paris,48.93028,2.35778
Saint-Denis-Université,48.94583,2.36361
Saint-François-Xavier,48.851951,2.314475
Varenne,48.856238,2.314921
Bibliothèque François Mitterrand,48.829822,2.376781
Cour Saint-Émilion,48.834,2.386
Olympiades,48.827222,2.368333
Pont Cardinet,48.889481,2.315206
Saint-Ouen,48.904497,2.321806
